"model","h1","h3","h6","h12"
"RW",1,1,1,1
"Ridge",1.2715,1.473,1.6746,1.5453
"LASSO",0.8246,0.7525,0.7607,0.7546
"ElNET",0.8332,0.7623,0.76,0.7484
"AdaLASSO",0.9041,0.7433,0.7791,0.8495
"AdaElNET",0.9308,0.7953,0.7899,0.8325
"RF",0.8143,0.7677,0.7787,0.7688
"Bagging",0.839,0.9557,1.0208,0.924
"Factor",1.0377,1.0143,0.8415,0.8387
"T.Factor",0.9046,0.8601,0.8223,0.8716
"CSR",0.8413,0.7448,0.7942,0.7634
"AR",0.8784,0.7732,0.8014,0.7845
"AR_BIC",0.8784,0.7732,0.8014,0.7845
"2SRR_AR",0.8827,0.7747,0.7781,0.8155
"2SRR_Factor",0.8979,0.8495,0.7869,0.8142
"2SRR_FAVAR",0.8727,0.8361,0.7907,0.8147
"RidgeStep1_AR",0.9093,0.7954,0.8007,0.7975
"RidgeStep1_Factor",0.8764,0.8571,0.8061,0.8589
"RidgeStep1_FAVAR",0.8855,0.8468,0.7999,0.8634
